chamber,code,name,party,district,sitting,first_session,last_session,roll_calls,committee_votes,page
House,JFW1,Joseph F. Wagner,Democrat,8th Hampden,no,189,192,936,2,house/members/JFW1.html
House,JKH1,James K. Hawkins,Democrat,2nd Bristol,yes,190,194,1355,358,house/members/JKH1.html
House,CAM2,Christina A. Minicucci,Democrat,14th Essex,no,191,192,724,0,house/members/CAM2.html
House,T_V1,Tommy Vitolo,Democrat,15th Norfolk,yes,191,194,1162,313,house/members/T_V1.html
House,L_M2,Liz Miranda,Democrat,5th Suffolk,no,191,192,724,0,house/members/L_M2.html
House,D_B1,David Biele,Democrat,4th Suffolk,yes,191,194,1162,337,house/members/D_B1.html
House,NMB1,Natalie M. Blais,Democrat,1st Franklin,no,191,194,1043,28,house/members/NMB1.html
House,TLG1,Tami L. Gouveia,Democrat,14th Middlesex,no,191,192,724,114,house/members/TLG1.html
House,TTN1,Tram T. Nguyen,Democrat,18th Essex,yes,191,194,1162,220,house/members/TTN1.html
House,RMH1,Richard M. Haggerty,Democrat,30th Middlesex,yes,191,194,1162,76,house/members/RMH1.html
House,PLC1,Peter Capano,Democrat,11th Essex,no,191,193,927,0,house/members/PLC1.html
House,DRC1,Daniel R. Carey,Democrat,2nd Hampshire,no,191,193,927,15,house/members/DRC1.html
House,C_H1,Christopher Hendricks,Democrat,11th Bristol,yes,191,194,1162,256,house/members/C_H1.html
House,M_C2,Michelle L. Ciccolo,Democrat,15th Middlesex,yes,191,194,1162,332,house/members/M_C2.html
House,D_R1,David Allen Robertson,Democrat,19th Middlesex,yes,191,194,1162,279,house/members/D_R1.html
House,MDR1,Maria Duaime Robinson,Democrat,6th Middlesex,no,191,192,657,0,house/members/MDR1.html
House,PJK1,Patrick Joseph Kearney,Democrat,4th Plymouth,yes,191,194,1162,142,house/members/PJK1.html
House,KPL1,Kathleen R. LaNatra,Democrat,12th Plymouth,yes,191,194,1162,15,house/members/KPL1.html
House,L_S1,Lindsay N. Sabadosa,Democrat,1st Hampshire,yes,191,194,1162,668,house/members/L_S1.html
House,MAD1,Marcos A. Devers,Democrat,16th Essex,no,189,192,725,104,house/members/MAD1.html
House,J_S2,Jon Santiago,Democrat,9th Suffolk,no,191,193,733,0,house/members/J_S2.html
House,M_D2,Mindy Domb,Democrat,3rd Hampshire,yes,191,194,1162,17,house/members/M_D2.html
House,DAL1,David Henry Argosky LeBoeuf,Democrat,17th Worcester,yes,191,194,1162,299,house/members/DAL1.html
House,NJO1,Norman J. Orrall,Republican,12th Bristol,yes,191,194,1162,417,house/members/NJO1.html
House,MJS3,Michael J. Soter,Republican,8th Worcester,yes,191,194,1162,183,house/members/MJS3.html
House,N_E1,Nika C. Elugardo,Democrat,15th Suffolk,no,191,192,724,114,house/members/N_E1.html
House,AMS2,Alyson M. Sullivan,Republican,7th Plymouth,yes,191,194,1162,353,house/members/AMS2.html
House,KLG1,Kate Lipper-Garabedian,Democrat,32nd Middlesex,yes,191,194,998,220,house/members/KLG1.html
House,CAD1,Carol A. Doherty,Democrat,3rd Bristol,no,191,194,754,0,house/members/CAD1.html
House,DAS1,Danillo A. Sena,Democrat,37th Middlesex,yes,191,194,978,110,house/members/DAS1.html
House,E_U1,Erika Uyterhoeven,Democrat,27th Middlesex,yes,192,194,719,21,house/members/E_U1.html
House,BFO1,Brandy Fluker Oakley,Democrat,12th Suffolk,no,192,193,484,0,house/members/BFO1.html
House,JAG1,Jessica Ann Giannino,Democrat,16th Suffolk,yes,192,194,719,34,house/members/JAG1.html
House,JRO1,Jacob R. Oliveira,Democrat,7th Hampden,no,192,192,281,0,house/members/JRO1.html
House,SCO1,Steven C. Owens,Democrat,29th Middlesex,yes,192,194,719,348,house/members/SCO1.html
House,R_C1,Rob Consalvo,Democrat,14th Suffolk,yes,192,194,719,201,house/members/R_C1.html
House,ERP1,Edward R. Philips,Democrat,8th Norfolk,yes,192,194,719,363,house/members/ERP1.html
House,V_H1,Vanna Howard,Democrat,17th Middlesex,no,192,194,625,87,house/members/V_H1.html
House,O_R1,Orlando Ramos,Democrat,9th Hampden,yes,192,194,719,331,house/members/O_R1.html
House,KAD1,Kip A. Diggs,Democrat,2nd Barnstable,yes,192,194,719,316,house/members/KAD1.html
House,SPK1,Sally P. Kerans,Democrat,13th Essex,yes,192,194,719,563,house/members/SPK1.html
House,M_K1,Meghan Kilcoyne,Democrat,12th Worcester,yes,192,194,719,309,house/members/M_K1.html
House,MPK1,Michael P. Kushmerek,Democrat,3rd Worcester,yes,192,194,719,160,house/members/MPK1.html
House,KWP1,Kelly W. Pease,Republican,4th Hampden,yes,192,194,719,136,house/members/KWP1.html
House,AJS1,Adam J. Scanlon,Democrat,14th Bristol,yes,192,194,719,29,house/members/AJS1.html
House,PAD1,Patricia A. Duffy,Democrat,5th Hampden,yes,192,194,719,136,house/members/PAD1.html
House,SGX1,Steven G. Xiarhos,Republican,5th Barnstable,yes,192,194,719,186,house/members/SGX1.html
House,JRT1,Jeffrey Rosario Turco,Democrat,19th Suffolk,yes,192,194,702,63,house/members/JRT1.html
House,JZB1,Jamie Zahlaway Belsito,Democrat,4th Essex,no,192,192,160,0,house/members/JZB1.html
House,PSS1,Priscila S. Sousa,Democrat,6th Middlesex,yes,193,194,438,490,house/members/PSS1.html
House,JCD1,James C. Arena-DeRosa,Democrat,8th Middlesex,yes,193,194,438,343,house/members/JCD1.html
House,JBA1,Jennifer Balinsky Armini,Democrat,8th Essex,yes,193,194,438,454,house/members/JBA1.html
House,CRF1,Christopher Richard Flanagan,Democrat,1st Barnstable,yes,193,194,438,49,house/members/CRF1.html
House,SBA1,Shirley B. Arriaga,Democrat,8th Hampden,yes,193,194,438,409,house/members/SBA1.html
House,RAM1,Rita A. Mendes,Democrat,11th Plymouth,yes,193,194,438,208,house/members/RAM1.html
House,JAG2,Judith A. Garcia,Democrat,11th Suffolk,yes,193,194,438,427,house/members/JAG2.html
House,S_M1,Samantha Montaño,Democrat,15th Suffolk,yes,193,194,438,557,house/members/S_M1.html
House,S_C1,Simon Cataldo,Democrat,14th Middlesex,yes,193,194,438,503,house/members/S_C1.html
House,RMH2,Ryan M. Hamilton,Democrat,15th Essex,yes,193,194,438,484,house/members/RMH2.html
House,FEP1,Francisco E. Paulino,Democrat,16th Essex,yes,193,194,438,151,house/members/FEP1.html
House,M_C3,Manny Cruz,Democrat,7th Essex,yes,193,194,438,236,house/members/M_C3.html
House,APR1,Adrianne Pusateri Ramos,Democrat,14th Essex,yes,193,194,438,270,house/members/APR1.html
House,EAR1,Estela A. Reyes,Democrat,4th Essex,yes,193,194,438,191,house/members/EAR1.html
House,K_D1,Kate Donaghue,Democrat,19th Worcester,yes,193,194,438,113,house/members/K_D1.html
House,ALS1,Aaron L. Saunders,Democrat,7th Hampden,yes,193,194,438,114,house/members/ALS1.html
House,MRS1,Margaret R. Scarsdale,Democrat,1st Middlesex,yes,193,194,438,251,house/members/MRS1.html
House,MSV1,Marcus S. Vaughn,Republican,9th Norfolk,yes,193,194,438,192,house/members/MSV1.html
House,RME1,Rodney M. Elliott,Democrat,16th Middlesex,yes,193,194,438,399,house/members/RME1.html
House,D_S1,Dawne Shand,Democrat,1st Essex,yes,193,194,438,263,house/members/D_S1.html
