session,date,committee,name,location,status,bills_heard,event_id
188,2013-11-06 13:00,J21,"Joint Committee on Environment, Natural Resources and Agriculture","A-2, 24 Beacon Street, Boston",Completed,21,812
188,2013-11-06 13:00,J25,Joint Committee on State Administration and Regulatory Oversight,"A-2, 24 Beacon Street, Boston",Completed,33,822
188,2013-11-06 16:00,J21,"Joint Committee on Environment, Natural Resources and Agriculture","A-2, 24 Beacon Street, Boston",Completed,0,813
188,2013-11-08 10:00,J29,Joint Committee on Higher Education,"College of the Holy Cross, 1 College Street, Worcester",Completed,0,755
188,2013-11-12 10:00,J37,"Joint Committee on Telecommunications, Utilities and Energy","A-2, 24 Beacon Street, Boston",Completed,15,718
188,2013-11-12 10:00,J43,Joint Committee on Labor and Workforce Development,"Wilmington Public High School, 161 Church Street, Wilmington",Completed,16,541
188,2013-11-12 11:00,J24,Joint Committee on Health Care Financing,"A-2, 24 Beacon Street, Boston",Completed,22,825
188,2013-11-12 13:00,J10,Joint Committee on Municipalities and Regional Government,"Hanover High School, 287 Cedar St., Hanover",Completed,4,823
188,2013-11-12 13:00,J17,Joint Committee on Consumer Protection and Professional Licensure,"Arlington Town Hall, Auditorium, Arlington",Completed,18,802
188,2013-11-13 11:00,J12,Joint Committee on Economic Development and Emerging Technologies,"Wilmington Public High School, 161 Church Street, Wilmington",Completed,12,815
188,2013-11-13 13:00,J11,Joint Committee on Financial Services,"A-2, 24 Beacon Street, Boston",Completed,21,821
188,2013-11-13 13:00,J19,Joint Committee on the Judiciary,"A-2, 24 Beacon Street, Boston",Completed,107,824
188,2013-11-13 13:30,J25,Joint Committee on State Administration and Regulatory Oversight,"Wilmington Public High School, 161 Church Street, Wilmington",Completed,1,826
188,2013-11-14 10:00,S48,Senate Committee on Post Audit and Oversight,"A-2, 24 Beacon Street, Boston",Completed,0,833
188,2013-11-14 11:00,J28,Joint Committee on Housing,"A-2, 24 Beacon Street, Boston",Completed,14,817
188,2013-11-18 10:30,J44,Joint Committee on Elder Affairs,"Wilmington Public High School, 161 Church Street, Wilmington",Completed,10,828
188,2013-11-19 10:00,J16,Joint Committee on Public Health,"Wilmington Public High School, 161 Church Street, Wilmington",Completed,36,827
188,2013-11-19 11:00,J13,"Joint Committee on Children, Families and Persons with Disabilities","A-2, 24 Beacon Street, Boston",Completed,14,834
188,2013-11-19 13:00,J17,Joint Committee on Consumer Protection and Professional Licensure,"A-2, 24 Beacon Street, Boston",Completed,19,803
188,2013-11-19 16:00,J17,Joint Committee on Consumer Protection and Professional Licensure,"A-2, 24 Beacon Street, Boston",Completed,9,842
188,2013-11-20 10:00,J22,Joint Committee on Public Safety and Homeland Security,"Wilmington Public High School, 161 Church Street, Wilmington",Completed,27,829
188,2013-11-20 10:00,S32,"Senate Committee on Bonding, Capital Expenditures and State Assets","A-2, 24 Beacon Street, Boston",Completed,1,837
188,2013-11-20 13:00,J12,Joint Committee on Economic Development and Emerging Technologies,"Wilmington Public High School, 161 Church Street, Wilmington",Completed,3,838
188,2013-11-20 16:30,J21,"Joint Committee on Environment, Natural Resources and Agriculture","A-2, 24 Beacon Street, Boston",Completed,9,840
188,2013-11-21 11:00,J23,Joint Committee on Public Service,"A-2, 24 Beacon Street, Boston",Completed,34,831
188,2013-11-25 11:00,J23,Joint Committee on Public Service,"Arlington Town Hall, Auditorium, Arlington",Completed,4,832
188,2013-12-03 10:00,J16,Joint Committee on Public Health,"A-2, 24 Beacon Street, Boston",Completed,17,841
188,2013-12-03 13:00,J37,"Joint Committee on Telecommunications, Utilities and Energy","A-2, 24 Beacon Street, Boston",Completed,10,784
188,2013-12-04 14:00,J15,Joint Committee on Election Laws,"Wilmington Public High School, 161 Church Street, Wilmington",Completed,18,809
188,2013-12-09 11:00,J29,Joint Committee on Higher Education,"Berkshire Community College, Boland Theater, Pittsfield",Completed,0,836
188,2013-12-10 11:00,J23,Joint Committee on Public Service,"Wilmington Public High School, 161 Church Street, Wilmington",Completed,42,844
188,2013-12-10 12:00,J27,Joint Committee on Transportation,"A-2, 24 Beacon Street, Boston",Completed,25,845
188,2013-12-11 10:30,H32,"House Committee on Bonding, Capital Expenditures and State Assets","Wilmington Public High School, 161 Church Street, Wilmington",Completed,2,847
188,2013-12-11 13:00,J29,Joint Committee on Higher Education,"A-2, 24 Beacon Street, Boston",Completed,5,830
188,2013-12-12 10:00,J22,Joint Committee on Public Safety and Homeland Security,"A-2, 24 Beacon Street, Boston",Completed,27,848
188,2013-12-12 13:00,J47,Joint Committee on Community Development and Small Businesses,"A-2, 24 Beacon Street, Boston",Completed,6,843
188,2013-12-17 10:00,J16,Joint Committee on Public Health,"A-2, 24 Beacon Street, Boston",Completed,20,846
188,2013-12-18 10:00,J28,Joint Committee on Housing,"A-2, 24 Beacon Street, Boston",Completed,0,849
188,2013-12-18 12:30,J43,Joint Committee on Labor and Workforce Development,"A-2, 24 Beacon Street, Boston",Completed,18,542
188,2013-12-19 10:30,J25,Joint Committee on State Administration and Regulatory Oversight,"A-2, 24 Beacon Street, Boston",Completed,8,850
188,2014-01-07 11:00,J23,Joint Committee on Public Service,"A-2, 24 Beacon Street, Boston",Completed,48,852
188,2014-01-08 10:00,J37,"Joint Committee on Telecommunications, Utilities and Energy","A-2, 24 Beacon Street, Boston",Completed,2,851
188,2014-01-08 11:00,H32,"House Committee on Bonding, Capital Expenditures and State Assets","A-2, 24 Beacon Street, Boston",Completed,2,854
188,2014-01-08 11:00,H32,"House Committee on Bonding, Capital Expenditures and State Assets","A-2, 24 Beacon Street, Boston",Completed,2,855
188,2014-01-08 13:00,J25,Joint Committee on State Administration and Regulatory Oversight,"Wellesley Free Library, 530 Washington Street, Wellesley",Completed,1,856
188,2014-01-14 11:00,J23,Joint Committee on Public Service,"A-2, 24 Beacon Street, Boston",Completed,28,863
188,2014-01-16 10:30,J10,Joint Committee on Municipalities and Regional Government,"A-2, 24 Beacon Street, Boston",Completed,13,858
188,2014-01-16 10:30,J18,Joint Committee on Mental Health and Substance Abuse,"A-2, 24 Beacon Street, Boston",Completed,0,868
188,2014-01-16 13:00,J21,"Joint Committee on Environment, Natural Resources and Agriculture","Wilmington Public High School, 161 Church Street, Wilmington",Completed,2,867
188,2014-01-21 11:00,J23,Joint Committee on Public Service,"A-2, 24 Beacon Street, Boston",Completed,39,871
188,2014-01-21 13:00,J17,Joint Committee on Consumer Protection and Professional Licensure,"A-2, 24 Beacon Street, Boston",Completed,15,859
188,2014-01-21 16:00,J17,Joint Committee on Consumer Protection and Professional Licensure,"A-2, 24 Beacon Street, Boston",Completed,7,879
188,2014-01-23 10:00,J44,Joint Committee on Elder Affairs,"Wilmington Public High School, 161 Church Street, Wilmington",Completed,3,870
188,2014-01-23 11:00,H46,House Committee on Post Audit and Oversight,"Arlington Town Hall, Auditorium, Arlington",Completed,0,861
188,2014-01-28 10:30,J28,Joint Committee on Housing,"A-2, 24 Beacon Street, Boston",Completed,22,862
188,2014-01-28 11:00,J23,Joint Committee on Public Service,"Wilmington Public High School, 161 Church Street, Wilmington",Completed,0,893
188,2014-01-28 12:00,J28,Joint Committee on Housing,"A-2, 24 Beacon Street, Boston",Completed,0,878
188,2014-01-28 13:00,J13,"Joint Committee on Children, Families and Persons with Disabilities","Hanover High School, 287 Cedar St., Hanover",Completed,5,857
188,2014-01-28 13:00,J17,Joint Committee on Consumer Protection and Professional Licensure,"Wilmington Public High School, 161 Church Street, Wilmington",Completed,42,873
